179.43.161.218 - - [06/Jun/2025:13:33:01 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
204.76.203.211 - - [06/Jun/2025:13:33:49 +0000] "GET / HTTP/1.1" 301 169 "-" "Hello World" "-"
157.230.192.203 - - [06/Jun/2025:13:35:50 +0000] "HEAD / HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Debian; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36" "-"
157.230.192.203 - - [06/Jun/2025:13:35:51 +0000] "GET / HTTP/1.1" 404 14 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) LoiLoNote/19.0.0 Version/17.1.2 Safari/605.1.15" "-"
196.251.81.194 - - [06/Jun/2025:13:36:38 +0000] "GET /.env HTTP/1.1" 404 14 "-" "Mozilla/4.0 (compatible; Linux 2.6.22) NetFront/3.4 Kindle/2.0 (screen 600x800)" "-"
45.156.128.127 - - [06/Jun/2025:13:42:03 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36" "-"
45.156.128.41 - - [06/Jun/2025:13:42:03 +0000] "GET / HTTP/1.1" 404 14 "http://79.137.195.53/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36" "-"
204.76.203.212 - - [06/Jun/2025:13:42:20 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
192.102.6.28 - - [06/Jun/2025:13:42:53 +0000] "GET / HTTP/2.0" 404 14 "https://almet-sam.ru" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36" "-"
192.42.116.198 - - [06/Jun/2025:13:42:53 +0000] "GET / HTTP/2.0" 404 14 "https://almet-sam.ru" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36" "-"
91.108.5.40 - - [06/Jun/2025:13:43:33 +0000] "POST /webhook HTTP/1.1" 200 2 "-" "-" "-"
